rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
1,bt_SGC3_PP123_all_log_med_exdj0,SC205,-12.512820512820513,-1.2142857142857142,18.76923076923077,9.642857142857142,605.025641025641,129.92857142857142,18.82652038541603,14.381110059053588,11.695905879096149,18.926954108802995,0.0971354208117219,0.801996506308659,24.597268974941933,11.398621470536312,0.3536515094070639,0.873289253519585,15,11,11,3,0.3846153846153846,0.282051282051282,0.7857142857142857,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,17.997945222739123
2,bt_SGC2_PP123_ann_log_med_exdj0,SC205,-12.512820512820513,-2.9285714285714284,18.76923076923077,10.5,605.025641025641,182.2142857142857,18.82652038541603,15.903407413096687,11.695905879096149,18.926954108802995,0.0971354208117219,0.726753742579523,24.597268974941933,13.498677183868269,0.3536515094070639,0.8416605758280902,15,11,10,3,0.3846153846153846,0.282051282051282,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,19.0479730794051
3,bt_SGC2_PP123_ann_lin_med_exdj0,SC205,-12.512820512820513,-3.7857142857142856,18.76923076923077,10.928571428571429,605.025641025641,197.64285714285717,18.82652038541603,15.39878076276144,11.695905879096149,18.926954108802995,0.0971354208117219,0.7068759050126352,24.597268974941933,14.058551032836109,0.3536515094070639,0.8233766132257481,15,11,10,4,0.3846153846153846,0.282051282051282,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,19.32791000388902
4,bt_SGC3_PP123_ann_lin_med_exdj0,SC205,-12.512820512820513,-2.2857142857142856,18.76923076923077,11.142857142857142,605.025641025641,198.28571428571428,18.82652038541603,13.472761636815555,11.695905879096149,18.926954108802995,0.0971354208117219,0.6797763307249323,24.597268974941933,14.08139603468755,0.3536515094070639,0.797919532682234,15,11,10,3,0.3846153846153846,0.282051282051282,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,19.33933250481474
5,bt_SGC3_PP123_ann_log_med_exdj0,SC205,-12.512820512820513,-1.8571428571428568,18.76923076923077,11.571428571428571,605.025641025641,205.14285714285717,18.82652038541603,13.342620065192657,11.695905879096149,18.926954108802995,0.0971354208117219,0.6624052420722365,24.597268974941933,14.32280898227918,0.3536515094070639,0.7871595154191685,15,11,9,3,0.3846153846153846,0.282051282051282,0.6428571428571429,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,19.460038978610555
6,bt_SGC2_PP123_all_log_med_exdj0,SC205,-12.512820512820513,-3.357142857142857,18.76923076923077,11.357142857142858,605.025641025641,207.92857142857144,18.82652038541603,15.53534482319302,11.695905879096149,18.926954108802995,0.0971354208117219,0.685149655024701,24.597268974941933,14.41972854905984,0.3536515094070639,0.811897339325653,15,11,10,2,0.3846153846153846,0.282051282051282,0.7142857142857143,0.1428571428571428,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,19.508498762000887
7,bt_SGC2_PP123_all_lin_med_exdj0,SC205,-12.512820512820513,-6.142857142857143,18.76923076923077,12.857142857142858,605.025641025641,295.1428571428572,18.82652038541603,16.96108992454705,11.695905879096149,18.926954108802995,0.0971354208117219,0.6050991483052415,24.597268974941933,17.17972226617349,0.3536515094070639,0.7643092704539132,15,11,8,3,0.3846153846153846,0.282051282051282,0.5714285714285714,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,0,median,0,ok,20.888495620557713
8,bt_SGC3_PP123_all_lin_med_exdj0,SC205,-12.512820512820513,-5.5,18.76923076923077,13.071428571428571,605.025641025641,297.07142857142856,18.82652038541603,16.48747205286115,11.695905879096149,18.926954108802995,0.0971354208117219,0.5820157346426669,24.597268974941933,17.235760168075807,0.3536515094070639,0.7531942052575105,15,11,9,2,0.3846153846153846,0.282051282051282,0.6428571428571429,0.1428571428571428,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,0,median,0,ok,20.91651457150887
9,bt_SGC3_PP1_ann_lin_med_exdj0,SC205,-12.512820512820513,-7.0,18.76923076923077,13.142857142857142,605.025641025641,299.42857142857144,18.82652038541603,16.20232409632794,11.695905879096149,18.926954108802995,0.0971354208117219,0.6037884759892405,24.597268974941933,17.304004491116252,0.3536515094070639,0.7493905816498583,15,11,10,2,0.3846153846153846,0.282051282051282,0.7142857142857143,0.1428571428571428,39,39,14,14,SGC3,PP1-DIA,annual,0,median,0,ok,20.950636733029093
10,bt_SGC2_PP1_ann_lin_mean_exdj0,SC205,-12.512820512820513,-5.928571428571429,18.76923076923077,13.357142857142858,605.025641025641,300.07142857142856,18.82652038541603,16.576353947840325,11.695905879096149,18.926954108802995,0.0971354208117219,0.5866031764577053,24.597268974941933,17.322569918214462,0.3536515094070639,0.7532993451644758,15,11,9,3,0.3846153846153846,0.282051282051282,0.6428571428571429,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA,annual,0,mean,0,ok,20.959919446578198
