Year,Bloom Date,Day of Year
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,1996-01-02,2.0
1997,1997-02-25,56.0
1998,1998-03-06,65.0
1999,1999-03-27,86.0
2000,2000-03-20,80.0
2001,2001-02-28,59.0
2002,2002-03-06,65.0
2003,2003-02-13,44.0
2004,2004-03-02,62.0
2005,2005-02-19,50.0
2006,2006-03-30,89.0
2007,2007-04-02,92.0
2008,2008-04-01,92.0
2009,2009-03-12,71.0
2010,2010-02-19,50.0
2011,2011-03-24,83.0
2012,2012-03-26,86.0
2013,2013-03-09,68.0
2014,2014-03-21,80.0
2015,2015-02-22,53.0
2016,2016-03-26,86.0
2017,2017-04-14,104.0
2018,2018-03-12,71.0
