Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-04-07,98,late
1981,1981-03-15,74,avg
1982,1982-04-08,98,late
1983,1983-03-21,80,avg
1984,1984-04-01,92,avg
1985,1985-04-11,101,late
1986,1986-04-08,98,late
1987,1987-03-27,86,avg
1988,1988-04-10,101,late
1989,1989-04-14,104,late
1990,1990-04-02,92,avg
1991,1991-04-11,101,late
1992,1992-03-14,74,avg
1993,1993-03-30,89,avg
1994,1994-04-02,92,avg
1995,1995-03-30,89,avg
1996,1996-03-29,89,avg
1997,1997-04-11,101,late
1998,1998-03-27,86,avg
1999,1999-04-14,104,late
2000,2000-04-01,92,avg
2001,2001-04-02,92,avg
2002,2002-04-08,98,late
2003,2003-04-05,95,cusp
2004,2004-03-23,83,avg
2005,2005-03-18,77,avg
2006,2006-04-08,98,late
2007,2007-04-11,101,late
2008,2008-04-13,104,late
2009,2009-04-11,101,late
2010,2010-03-30,89,avg
2011,2011-04-17,107,late
2012,2012-04-13,104,late
2013,2013-03-30,89,avg
2014,2014-03-27,86,avg
2015,2015-02-28,59,early
2016,2016-03-29,89,avg
2017,2017-04-14,104,late
2018,2018-04-02,92,avg
